"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,32900,"Mobile","AL","Mobile","Mobile",72,103000,0.000971817298347911,0.0048780487804878,0.031031031031031,0.000194287949385696,-0.00482111458044676,"2008-06","2008-Q2",121100,-0.149463253509496,"2005-12"
2016-04-30,25320,"Jersey City","NJ","New York","Hudson",73,344600,0.00466472303206997,0.00730780473545747,0.0826264530317311,0.049691588709281,-0.00249021727901555,"2007-05","2007-Q2",375800,-0.0830228845130389,"2006-02"
2016-04-30,53060,"Lubbock","TX","Lubbock","Lubbock",74,114700,0.00790861159929701,0.0186500888099467,0.0542279411764706,0.018217195469713,0.010621125028176,"2016-04","2016-Q2",114700,0,"2016-04"
2016-04-30,18298,"Glendale","AZ","Phoenix","Maricopa",75,193300,0.00363447559709242,0.0109832635983264,0.109007458405049,0.121401341295672,-0.027169124998316,"2006-04","2006-Q2",254600,-0.24076983503535,"2005-05"
2016-04-30,24457,"Durham","NC","Durham","Durham",76,174700,0.00172018348623853,0.00866050808314088,0.0685015290519878,0.0267472370613011,0.0114506061025561,"2016-04","2016-Q2",174700,0,"2016-04"
2016-04-30,13121,"Orlando","FL","Orlando","Orange",77,150700,0,0.0100536193029491,0.121279761904762,0.0964442316085137,-0.0401804052813454,"2006-08","2006-Q3",232900,-0.352941176470588,"2004-12"
2016-04-30,6210,"Norfolk","VA","Virginia Beach","Norfolk City",78,171800,0.0147666863555818,0.0305938812237553,0.0520514390691978,0.0087219039467874,-0.00881233514658664,"2007-04","2007-Q2",197300,-0.129244804865687,"2005-07"
2016-04-30,26922,"Saint Petersburg","FL","Tampa","Pinellas",79,157700,0.0070242656449553,0.0246913580246914,0.136986301369863,0.0956030712517,-0.0196407725512793,"2006-05","2006-Q2",192800,-0.182053941908714,"2005-04"
2016-04-30,53856,"Pensacola","FL","Pensacola","Escambia",80,113900,0.00264084507042254,0.00707338638373121,0.0151515151515152,0.0211164500166816,-0.0230406721949054,"2006-06","2006-Q2",144000,-0.209027777777778,"2005-02"
2016-04-30,18170,"Fort Wayne","IN","Fort Wayne","Allen",81,93700,0.00752688172043011,0.0173724212812161,0.0782508630609896,0.0172980872546109,-0.00638666762487883,"2006-11","2006-Q4",100600,-0.0685884691848907,"2002-10"
2016-04-30,11722,"Greensboro","NC","Greensboro","Guilford",82,119900,-0.000833333333333333,0.00334728033472803,0.0143824027072758,0.0113881354738989,-0.00335670398732535,"2008-03","2008-Q1",126200,-0.0499207606973059,"2005-05"
2016-04-30,32503,"Lincoln","NE","Lincoln","Lancaster",83,149700,0.000668449197860962,0.00740242261103634,0.0381414701803051,0.0318162568312435,0.0126626376572585,"2016-04","2016-Q2",149700,0,"2016-04"
2016-04-30,20328,"San Bernardino","CA","Riverside","San Bernardino",84,226200,0.0102724430549352,0.0300546448087432,0.115384615384615,0.132543215480095,-0.0351156586467425,"2006-08","2006-Q3",332000,-0.318674698795181,"2004-11"
2016-04-30,24225,"Corona","CA","Riverside","Riverside",85,422500,0.00237247924080664,0.00595238095238095,0.0476072402677907,0.0773502122821692,-0.02298371402049,"2006-05","2006-Q2",533700,-0.208356754731122,"2004-07"
2016-04-30,51405,"Chula Vista","CA","San Diego","San Diego",86,462900,0.00368603642671292,0.0146865409907935,0.0678200692041522,0.0857413175916657,-0.0175563950667869,"2006-05","2006-Q2",552800,-0.162626628075253,"2004-06"
2016-04-30,44564,"Chesapeake","VA","Virginia Beach","Chesapeake City",87,241700,-0.00288778877887789,0.00082815734989648,0.0211237853823405,0.00944687868528815,-0.00957138888739206,"2006-08","2006-Q3",269400,-0.102821083890126,"2005-07"
2016-04-30,25104,"Hialeah","FL","Miami-Fort Lauderdale","Miami-Dade",88,186900,0.00322061191626409,0.0108166576527853,0.118491921005386,0.0921159120944246,-0.0302103195333785,"2007-03","2007-Q1",274500,-0.319125683060109,"2005-03"
2016-04-30,398849,"Madison","WI","Madison","Dane",89,212600,0.00615238996687175,0.00949667616334283,0.0545634920634921,0.0290932435252198,0.00582686958401024,"2016-04","2016-Q2",212600,0,"2016-04"
2016-04-30,18251,"Garland","TX","Dallas-Fort Worth","Dallas",90,148700,0.00881953867028494,0.0384078212290503,0.15809968847352,0.0815061199905025,0.0229614359998451,"2016-04","2016-Q2",148700,0,"2016-04"
2016-04-30,24741,"Fontana","CA","Riverside","San Bernardino",91,333200,0.00786448880822747,0.0255463219452139,0.0783171521035599,0.110830391748723,-0.0232103568793987,"2006-06","2006-Q2",423900,-0.213965557914603,"2005-01"
2016-04-30,31614,"Fort Myers","FL","Fort Myers","Lee",92,188800,0.00372142477405635,0.0199891950297137,0.102159953298307,0.0939638943908607,-0.0391571580974607,"2006-04","2006-Q2",281500,-0.329307282415631,"2005-01"
2016-04-30,25428,"Knoxville","TN","Knoxville","Knox",93,115200,-0.000867302688638335,-0.00518134715025907,0.00523560209424084,0.00836564351913482,0.00527117934548293,"2009-11","2009-Q4",118700,-0.029486099410278,"2009-02"
2016-04-30,52893,"Laredo","TX","Laredo","Webb",94,112700,0.00266903914590747,0.00714924039320822,0.0125786163522013,0.0310969171966033,0.0100255835462209,"2014-02","2014-Q1",118800,-0.0513468013468013,"2013-11"
2016-04-30,26187,"North Las Vegas","NV","Las Vegas","Clark",95,181800,0.00441988950276243,0.01,0.0789317507418398,0.124301197609974,-0.0459850787193999,"2006-04","2006-Q2",291100,-0.375472346272758,"2004-01"
2016-04-30,5573,"Lawrenceville","GA","Atlanta","Gwinnett",96,170600,0.00530347672362994,0.0185074626865672,0.0845518118245391,0.0634970708204441,-0.00242912769915482,"2007-03","2007-Q1",179000,-0.046927374301676,"2005-10"
