"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,92617,"78704","TX","Austin","Travis","Austin",80,493400,0.0116875128152553,0.0404892450442851,0.0777632153778943,,,"2016-04","2016-Q2",493400,0,"2016-04"
2016-04-30,98325,"95630","CA","Sacramento","Sacramento","Folsom",81,476300,0.00485232067510549,0.0188235294117647,0.0751693002257336,0.0692424665673359,-0.00793546519277155,"2005-12","2005-Q4",528800,-0.0992813918305598,"2005-02"
2016-04-30,96545,"91910","CA","San Diego","San Diego","Chula Vista",82,457800,0.00593276203032301,0.0221031480241125,0.100216294160058,0.0871205225136349,-0.0163051793813985,"2005-10","2005-Q4",540400,-0.152849740932642,"2004-06"
2016-04-30,61148,"08701","NJ","New York","Ocean","Lakewood Township",83,293100,0.00205128205128205,0.0266199649737303,0.0879732739420935,0.0566646061697649,-0.00889702797893266,"2006-03","2006-Q1",321000,-0.0869158878504673,"2005-04"
2016-04-30,61790,"10314","NY","New York","Richmond","New York",84,412100,0,0.00170150704910063,0.0180335968379447,0.0212351184078716,-0.00161144429227866,"2006-10","2006-Q4",423600,-0.027148253068933,"2006-01"
2016-04-30,92598,"78666","TX","Austin","Hays","San Marcos",85,170600,0.010065127294257,0.0485556238475722,0.115032679738562,0.0340523814602227,0.0312599433801568,"2016-04","2016-Q2",170600,0,"2016-04"
2016-04-30,96007,"90026","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",86,766200,0.00922023182297155,0.0401846320934021,0.117724288840263,0.102537662400757,0.0198947198219701,"2016-04","2016-Q2",766200,0,"2016-04"
2016-04-30,87074,"66062","KS","Kansas City","Johnson","Olathe",87,215400,0.00842696629213483,0.0252260828177059,0.0589970501474926,0.0254120568726608,0.013268101442111,"2016-04","2016-Q2",215400,0,"2016-04"
2016-04-30,95306,"87111","NM","Albuquerque","Bernalillo","Albuquerque",88,231800,0.00563991323210412,0.0109027474923681,0.018006148440931,0.00704915616175072,0.00104131441280675,"2007-09","2007-Q3",262300,-0.116279069767442,"2006-05"
2016-04-30,62026,"11215","NY","New York","Kings","New York",89,1076800,0.00494633691087261,0.0340920003841352,0.198175141871592,0.114938740147302,0.0639363709106191,"2016-04","2016-Q2",1076800,0,"2016-04"
