"State","Date","RegionID","Zip","Metro","County","City","SizeRank","Value","Monthly","Quarterly","Annual","Five_Year","Ten_Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","StateName","location"
"AL","2016-04-30",73397,35228,"Birmingham","Jefferson","Midfield",7628,51500,0.00782778864970646,0.0177865612648221,-0.00386847195357834,-0.0023139469057103,-0.0218009874197627,"2007-09","2007-Q3",68800,-0.251453488372093,"1999-10","Alabama","Midfield, AL 35228"
"AL","2016-04-30",73268,35020,"Birmingham","Jefferson","Bessemer",3908,47300,0,0.00852878464818763,0.0511111111111111,0.0201956662764646,-0.01370659055492,"2008-05","2008-Q2",58200,-0.187285223367698,"2005-03","Alabama","Bessemer, AL 35020"
"AL","2016-04-30",73972,36613,"Mobile","Mobile","Prichard",7444,87200,-0.0022883295194508,-0.0102156640181612,0,-0.00585889819976149,-0.00293375255189865,"2008-07","2008-Q3",104300,-0.163950143815916,"2006-01","Alabama","Prichard, AL 36613"
"AL","2016-04-30",73923,36542,"Daphne","Baldwin","Gulf Shores",3742,233700,0.00906735751295337,0.0286091549295775,0.0386666666666667,0.0581093734114266,-0.0285141163836461,"2006-04","2006-Q2",312100,-0.2512015379686,"2004-08","Alabama","Gulf Shores, AL 36542"
"AL","2016-04-30",73374,35204,"Birmingham","Jefferson","Birmingham",7336,44900,-0.0110132158590308,-0.0196506550218341,0.0135440180586907,-0.00612201688796621,-0.015703230617477,"2006-08","2006-Q3",54000,-0.168518518518519,"2001-10","Alabama","Birmingham, AL 35204"
"AL","2016-04-30",73409,35242,"Birmingham","Jefferson","Hoover",281,324300,0.00185356811862836,0.0166144200626959,0.0536062378167641,0.0228917555405634,0.00240587607290577,"2007-04","2007-Q2",326200,-0.00582464745554874,"2006-11","Alabama","Hoover, AL 35242"
"AL","2016-04-30",73291,35054,"Birmingham","Saint Clair","Pell City",10121,240900,0.00500625782227785,0.010062893081761,0.00458715596330275,0.0217768436359025,0.00943838871229885,"2015-06","2015-Q2",242300,-0.00577796120511762,"2015-05","Alabama","Pell City, AL 35054"
"AL","2016-04-30",73386,35216,"Birmingham","Jefferson","Vestavia Hills",1400,251400,0.00519792083166733,0.0182260024301337,0.0688775510204082,0.0353642263274474,0.0106632431151408,"2016-04","2016-Q2",251400,0,"2016-04","Alabama","Vestavia Hills, AL 35216"
"AL","2016-04-30",73964,36605,"Mobile","Mobile","Mobile",3172,51500,-0.00386847195357834,-0.019047619047619,-0.0445269016697588,-0.0207755695552616,-0.0249444243598609,"2008-08","2008-Q3",70500,-0.269503546099291,"2000-07","Alabama","Mobile, AL 36605"
"AL","2016-04-30",73610,35773,"Huntsville","Madison","Harvest",7238,123800,0.000808407437348424,0.00896495517522412,0.0239867659222498,-0.00192741555480669,-0.00168064421313485,"2007-04","2007-Q2",137700,-0.100944081336238,"2005-12","Alabama","Harvest, AL 35773"
